id,object_id,object_repr,action_flag,change_message,content_type_id,user_id,action_time
40,60,Tim Statistik Distribusi dan Niaga Jasa - Honor petugas pengolahan Survei Pola Usaha Non Pertanian,3,,10,1,2025-06-24 07:08:31.754529
41,59,Tim Statistik Distribusi dan Niaga Jasa - Honor petugas pengolahan Survei Perusahaan/Usaha Penyedia Makan Minum UMB,3,,10,1,2025-06-24 07:08:31.754538
42,58,Tim Inflasi - Honor petugas pengolahan Survei Pedagang Beras,3,,10,1,2025-06-24 07:08:31.754548
43,57,Tim Statistik Harga - Honor petugas pengolahan Survei Harga Produsen Sektor Pertanian (HPT),3,,10,1,2025-06-24 07:08:31.754558
44,56,Tim Statistik Harga - Honor petugas pengolahan Survei Harga Produsen Sektor Jasa (HPJ),3,,10,1,2025-06-24 07:08:31.754567
45,55,Tim Statistik Harga - Honor petugas pengolahan Survei Harga Produsen Sektor Industri Pengolahan dan Sektor Pertambangan dan Penggalian (HP),3,,10,1,2025-06-24 07:08:31.754577
46,54,Tim Statistik Harga - Honor petugas pengolahan Survei Harga Perdagangan Besar Mingguan,3,,10,1,2025-06-24 07:08:31.754586
47,53,Tim Statistik Harga - Honor petugas pengolahan Survei Harga Perdagangan Besar,3,,10,1,2025-06-24 07:08:31.754596
48,52,Tim Statistik Harga - Honor petugas pengolahan Survei Harga Mesin dan Peralatan (SHMP),3,,10,1,2025-06-24 07:08:31.754605
49,51,Tim Statistik Harga - Honor petugas pengolahan Survei Harga Konsumen Perdesaan (HKD),3,,10,1,2025-06-24 07:08:31.754615
50,50,Tim Statistik Harga - Honor petugas pengolahan Survei Harga Kemahalan Konstruksi,3,,10,1,2025-06-24 07:08:31.754624
51,49,Tim Inflasi - Honor petugas pengolahan Listing Survei Pedagang Beras,3,,10,1,2025-06-24 07:08:31.754634
52,48,Tim Statistik Harga - Honor petugas pengolahan  Survei Harga Produsen Perdesaan (HD),3,,10,1,2025-06-24 07:08:31.754643
53,47,Tim Neraca Wilayah dan Analisis Statistik - Honor petugas pendataan lapangan updating direktori lnprt di kab/kota,3,,10,1,2025-06-24 07:08:31.754652
54,46,Tim Neraca Wilayah dan Analisis Statistik - Honor petugas pendataan lapangan survei sklnpt,3,,10,1,2025-06-24 07:08:31.754661
55,45,Tim Statistik Distribusi dan Niaga Jasa - Honor petugas pendataan lapangan survei perdagangan barang domestik,3,,10,1,2025-06-24 07:08:31.754670
56,44,Tim Neraca Wilayah dan Analisis Statistik - Honor petugas pendataan lapangan survei penyusunan disagregasi pmtb di kab/kota,3,,10,1,2025-06-24 07:08:31.754680
57,43,Tim Neraca Wilayah dan Analisis Statistik - Honor petugas pendataan lapangan survei khusus neraca produksi,3,,10,1,2025-06-24 07:08:31.754689
58,42,Tim Neraca Wilayah dan Analisis Statistik - Honor petugas pendataan lapangan survei in-depth study seea,3,,10,1,2025-06-24 07:08:31.754698
59,41,Tim Statistik Distribusi dan Niaga Jasa - Honor petugas pendataan lapangan survei e-commerce,3,,10,1,2025-06-24 07:08:31.754707
60,40,Tim Neraca Wilayah dan Analisis Statistik - Honor petugas pendataan lapangan survei SKTNP Jasa,3,,10,1,2025-06-24 07:08:31.754717
61,39,Tim Neraca Wilayah dan Analisis Statistik - Honor petugas pendataan lapangan survei SKSPPI,3,,10,1,2025-06-24 07:08:31.754730
62,38,Tim Neraca Wilayah dan Analisis Statistik - Honor petugas pendataan lapangan survei SKPS,3,,10,1,2025-06-24 07:08:31.754740
63,37,Tim Inflasi - Honor petugas pendataan lapangan Survei Volume Penjualan Komoditas Spesifik,3,,10,1,2025-06-24 07:08:31.754749
64,36,Tim Statistik Distribusi dan Niaga Jasa - Honor petugas pendataan lapangan Survei Pola Usaha Non Pertanian,3,,10,1,2025-06-24 07:08:31.754758
65,35,Tim Statistik Distribusi dan Niaga Jasa - Honor petugas pendataan lapangan Survei Pola Distribusi Barang,3,,10,1,2025-06-24 07:08:31.754767
66,34,Tim Inflasi - Honor petugas pendataan lapangan Survei Pedagang Beras,3,,10,1,2025-06-24 07:08:31.754776
67,33,Tim Statistik Distribusi dan Niaga Jasa - Honor petugas pendataan lapangan Survei Jasa Penunjang Angkutan,3,,10,1,2025-06-24 07:08:31.754785
68,32,Tim Statistik Harga - Honor petugas pendataan lapangan Survei Harga Produsen Sektor Pertanian (HPT),3,,10,1,2025-06-24 07:08:31.754795
69,31,Tim Statistik Harga - Honor petugas pendataan lapangan Survei Harga Produsen Sektor Jasa (HPJ),3,,10,1,2025-06-24 07:08:31.754804
70,30,Tim Statistik Harga - Honor petugas pendataan lapangan Survei Harga Produsen Sektor Industri Pengolahan dan Sektor Pertambangan dan Penggalian (HP),3,,10,1,2025-06-24 07:08:31.754813
71,29,Tim Statistik Harga - Honor petugas pendataan lapangan Survei Harga Produsen Perdesaan (HD),3,,10,1,2025-06-24 07:08:31.754822
72,28,Tim Statistik Harga - Honor petugas pendataan lapangan Survei Harga Produsen Identifikasi Komoditas Utama,3,,10,1,2025-06-24 07:08:31.754831
73,27,Tim Statistik Harga - Honor petugas pendataan lapangan Survei Harga Perdagangan Besar Mingguan,3,,10,1,2025-06-24 07:08:31.754841
74,26,Tim Statistik Harga - Honor petugas pendataan lapangan Survei Harga Perdagangan Besar,3,,10,1,2025-06-24 07:08:31.754850
75,25,Tim Statistik Harga - Honor petugas pendataan lapangan Survei Harga Mesin dan Peralatan (SHMP),3,,10,1,2025-06-24 07:08:31.754859
76,24,Tim Statistik Harga - Honor petugas pendataan lapangan Survei Harga Konsumen Perdesaan (HKD),3,,10,1,2025-06-24 07:08:31.754868
77,23,"Tim Inflasi - Honor petugas pendataan lapangan Survei Harga Konsumen (HK 4, HK 5, dan HK 6)",3,,10,1,2025-06-24 07:08:31.754877
78,22,Tim Inflasi - Honor petugas pendataan lapangan Survei Harga Konsumen (HK 3 outlet),3,,10,1,2025-06-24 07:08:31.754886
79,21,Tim Inflasi - Honor petugas pendataan lapangan Survei Harga Konsumen (HK 2.2 pasar),3,,10,1,2025-06-24 07:08:31.754895
80,20,Tim Inflasi - Honor petugas pendataan lapangan Survei Harga Konsumen (HK 2.2 outlet),3,,10,1,2025-06-24 07:08:31.754905
81,19,Tim Inflasi - Honor petugas pendataan lapangan Survei Harga Konsumen (HK 2.1 pasar),3,,10,1,2025-06-24 07:08:31.754914
82,18,Tim Inflasi - Honor petugas pendataan lapangan Survei Harga Konsumen (HK 1.2 pasar),3,,10,1,2025-06-24 07:08:31.754925
83,17,Tim Inflasi - Honor petugas pendataan lapangan Survei Harga Konsumen (HK 1.2 outlet),3,,10,1,2025-06-24 07:08:31.754934
84,16,Tim Inflasi - Honor petugas pendataan lapangan Survei Harga Konsumen (HK 1.1 pasar),3,,10,1,2025-06-24 07:08:31.754943
85,15,Tim Inflasi - Honor petugas pendataan lapangan Survei Harga Konsumen (HK 1.1 outlet),3,,10,1,2025-06-24 07:08:31.754952
86,14,Tim Statistik Harga - Honor petugas pendataan lapangan Survei Harga Kemahalan Konstruksi,3,,10,1,2025-06-24 07:08:31.754961
87,13,Tim Inflasi - Honor petugas pendataan lapangan Listing Survei Pedagang Beras,3,,10,1,2025-06-24 07:08:31.754970
88,12,Tim Statistik Harga - Honor Petugas Pengolahan Updating Survei Kesejahteraan Petani,3,,10,1,2025-06-24 07:08:31.754979
89,11,Tim Statistik Harga - Honor Petugas Pengolahan Survei Kesejahteraan Petani,3,,10,1,2025-06-24 07:08:31.754988
90,10,Tim Statistik Harga - Honor Petugas Pendataan Lapangan Updating Survei Kesejahteraan Petani,3,,10,1,2025-06-24 07:08:31.754997
91,9,Tim Statistik Distribusi dan Niaga Jasa - Honor Petugas Pendataan Lapangan Survei Usaha/Perusahaan Penyedia Jasa Akomodasi Tahunan,3,,10,1,2025-06-24 07:08:31.755006
92,8,Tim Statistik Distribusi dan Niaga Jasa - Honor Petugas Pendataan Lapangan Survei Usaha/Perusahaan Penyedia Jasa Akomodasi Bulanan,3,,10,1,2025-06-24 07:08:31.755015
93,7,Tim Statistik Distribusi dan Niaga Jasa - Honor Petugas Pendataan Lapangan Survei Statistik Keuangan Pemerintah Desa (K3),3,,10,1,2025-06-24 07:08:31.755024
94,6,Tim Statistik Distribusi dan Niaga Jasa - Honor Petugas Pendataan Lapangan Survei Statistik Keuangan BUMD,3,,10,1,2025-06-24 07:08:31.755033
95,5,Tim Statistik Distribusi dan Niaga Jasa - Honor Petugas Pendataan Lapangan Survei Perusahaan/Usaha Penyedia Makan Minum UMB,3,,10,1,2025-06-24 07:08:31.755042
96,4,Tim Statistik Distribusi dan Niaga Jasa - Honor Petugas Pendataan Lapangan Survei Lembaga Keuangan Koperasi Simpan Pinjam,3,,10,1,2025-06-24 07:08:31.755051
97,3,Tim Statistik Harga - Honor Petugas Pendataan Lapangan Survei Kesejahteraan Petani,3,,10,1,2025-06-24 07:08:31.755060
98,2,Tim Statistik Distribusi dan Niaga Jasa - Honor Petugas Pendataan Lapangan Survei Bidang Usaha Pariwisata (Updating Direktori Survei Usaha Penyedia Jasa Pariwisata),3,,10,1,2025-06-24 07:08:31.755069
99,1,Tim Statistik Distribusi dan Niaga Jasa - Honor Petugas Pendataan Lapangan Listing Survei E-Commerce,3,,10,1,2025-06-24 07:08:31.755078
100,27,PekerjaanMitra object (27),3,,7,1,2025-06-25 07:47:42.191168
101,26,PekerjaanMitra object (26),3,,7,1,2025-06-25 07:47:42.191208
102,25,PekerjaanMitra object (25),3,,7,1,2025-06-25 07:47:42.191226
103,24,PekerjaanMitra object (24),3,,7,1,2025-06-25 07:47:42.191240
104,23,PekerjaanMitra object (23),3,,7,1,2025-06-25 07:47:42.191255
105,22,PekerjaanMitra object (22),3,,7,1,2025-06-25 07:47:42.191269
106,21,PekerjaanMitra object (21),3,,7,1,2025-06-25 07:47:42.191282
107,20,PekerjaanMitra object (20),3,,7,1,2025-06-25 07:47:42.191295
108,19,PekerjaanMitra object (19),3,,7,1,2025-06-25 07:47:42.191308
109,18,PekerjaanMitra object (18),3,,7,1,2025-06-25 07:47:42.191320
110,17,PekerjaanMitra object (17),3,,7,1,2025-06-25 07:47:42.191333
111,16,PekerjaanMitra object (16),3,,7,1,2025-06-25 07:47:42.191347
112,15,PekerjaanMitra object (15),3,,7,1,2025-06-25 07:47:42.191359
113,14,PekerjaanMitra object (14),3,,7,1,2025-06-25 07:47:42.191372
114,13,PekerjaanMitra object (13),3,,7,1,2025-06-25 07:47:42.191385
115,12,PekerjaanMitra object (12),3,,7,1,2025-06-25 07:47:42.191397
116,11,PekerjaanMitra object (11),3,,7,1,2025-06-25 07:47:42.191410
117,10,PekerjaanMitra object (10),3,,7,1,2025-06-25 07:47:42.191422
118,9,PekerjaanMitra object (9),3,,7,1,2025-06-25 07:47:42.191435
119,8,PekerjaanMitra object (8),3,,7,1,2025-06-25 07:47:42.191448
120,7,PekerjaanMitra object (7),3,,7,1,2025-06-25 07:47:42.191461
121,6,PekerjaanMitra object (6),3,,7,1,2025-06-25 07:47:42.191473
122,5,PekerjaanMitra object (5),3,,7,1,2025-06-25 07:47:42.191485
123,3,PekerjaanMitra object (3),3,,7,1,2025-06-25 07:47:42.191497
124,2,PekerjaanMitra object (2),3,,7,1,2025-06-25 07:47:42.191510
125,1,PekerjaanMitra object (1),3,,7,1,2025-06-25 07:47:42.191522
126,40,PekerjaanMitra object (40),3,,7,1,2025-06-26 06:10:24.279498
127,39,PekerjaanMitra object (39),3,,7,1,2025-06-26 06:10:24.279533
128,38,PekerjaanMitra object (38),3,,7,1,2025-06-26 06:10:24.279549
129,37,PekerjaanMitra object (37),3,,7,1,2025-06-26 06:10:24.279562
130,36,PekerjaanMitra object (36),3,,7,1,2025-06-26 06:10:24.279575
131,34,PekerjaanMitra object (34),3,,7,1,2025-06-26 06:10:24.279586
132,33,PekerjaanMitra object (33),3,,7,1,2025-06-26 06:10:24.279597
133,31,PekerjaanMitra object (31),3,,7,1,2025-06-26 06:10:24.279609
134,30,PekerjaanMitra object (30),3,,7,1,2025-06-26 06:10:24.279619
135,29,PekerjaanMitra object (29),3,,7,1,2025-06-26 06:10:24.279630
136,28,PekerjaanMitra object (28),3,,7,1,2025-06-26 06:10:24.279641
137,1,Operator,1,"[{""added"": {}}]",3,1,2025-06-26 06:21:13.407611
138,1,Operator,2,[],3,1,2025-06-26 06:21:42.101386
139,2,operator,1,"[{""added"": {}}]",4,1,2025-06-26 06:24:21.762406
140,2,erwin.saputra@bps.go.id,2,"[{""changed"": {""fields"": [""Username"", ""First name"", ""Last name"", ""Email address"", ""Groups""]}}]",4,1,2025-06-26 06:25:24.284867
